Sample ID,186.M.C.3,187.M.C.3,191.M.C.3,192.M.C.3,198.M.C.3,228.M.C.3,229.M.C.3,269.M.S.3,270.M.S.3,271.M.S.3,272.M.S.3,255.M.C.3,256.M.C.3,27.M.S.4,28.M.S.4,37.M.S.3,80.M.S.3,81.M.S.3,49.M.S.3,52.M.S.3,55.M.S.3,58.M.S.3,54.M.S.3,43.M.S.3,56.M.S.3,77.M.S.3,75.M.S.3,61.M.S.3,47.M.S.3,71.M.S.3,65.M.S.3,44.M.S.3,67.M.S.3,41.M.S.3
Group,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Cohoused,Mutant_Cohoused,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate
Tryptophan,0.184313725,0.17027027,0.095454545,0.122222222,0.232352941,0.361111111,0.391428571,0.111428571,0.343333333,0.111538462,0.115,0.169767442,0.113888889,0.088983051,0.2172949,0.2,0.131687243,0.094871795,0.119005329,0.063314711,0.100443131,0.104719764,0.130434783,0.149577805,0.121621622,0.123408423,0.135172414,0.115085537,0.154390935,0.138586957,0.191176471,0.093251534,0.275123558,0.110655738
Tyrosine,0.778431373,0.897297297,0.497727273,0.805555556,0.570588235,2.227777778,2.902857143,0.692857143,1.705,0.28974359,0.706666667,0.827906977,0.405555556,0.264124294,0.835920177,0.683333333,0.596707819,0.408547009,0.321492007,0.376163873,0.307237814,0.309734513,0.80298913,0.763570567,0.738175676,0.486777669,0.485517241,0.379471229,0.464589235,0.638586957,0.835784314,0.505521472,0.94398682,0.399590164
UMP,0.666666667,0.591891892,0.252272727,0.597222222,0.252941176,0.577777778,1.477142857,0.414285714,0.046666667,0.180769231,0.515,0.718604651,0.4875,0.395480226,0.243902439,0.614285714,0.524005487,0.178632479,0.211367673,0.260707635,0.150664697,0.446902655,0.27173913,0.208685163,0.33277027,0.288932419,0.48,0.208398134,0.164305949,0.464673913,0.355392157,0.289570552,0.184514003,0.344262295
Uracil,8.082352941,11.97027027,2.036363636,15.175,2.391176471,3.555555556,21.98285714,7.801428571,13.88833333,1.743589744,8.35,8.625581395,6.816666667,4.162429379,4.011086475,8.907142857,8.041152263,4.233333333,1.918294849,5.582867784,1.895125554,6.132743363,7.84375,9.868516285,11.13175676,5.458374143,6.055172414,3.063763608,5.793201133,6.475543478,4.129901961,3.871165644,5.70675453,4.153688525
Urocanate,0.150980392,0.094594595,0.061363636,0.072222222,0.085294118,0.127777778,0.077142857,0.038571429,0.063333333,0.044871795,0.098333333,0.16744186,0.090277778,0.070621469,0.119733925,0.178571429,0.120713306,0.075213675,0.06749556,0.055865922,0.062038405,0.061946903,0.069293478,0.038600724,0.108108108,0.03036239,0.067586207,0.079315708,0.056657224,0.119565217,0.174019608,0.085889571,0.098846787,0.06557377
Valerate,0.531372549,0.367567568,0.238636364,1.036111111,0.235294118,0.255555556,0.425714286,0.318571429,0.653333333,0.241025641,0.333333333,0.365116279,0.256944444,0.337570621,0.22616408,0.242857143,0.314128944,0.195726496,0.127886323,0.27839851,0.124076809,0.477876106,0.394021739,0.332931242,0.300675676,0.28403526,0.380689655,0.111975117,0.144475921,0.434782609,0.196078431,0.220858896,0.278418451,0.182377049
Valine,1.839215686,2.272972973,1.127272727,1.780555556,1.311764706,2.377777778,6.011428571,1.641428571,5.208333333,0.744871795,1.776666667,2.060465116,1.220833333,0.644067797,1.711751663,1.788095238,1.511659808,0.941880342,0.737122558,1.261638734,0.901033973,1.137168142,1.505434783,2.10615199,2.121621622,1.16748286,1.434482759,1.01244168,1.470254958,1.616847826,1.615196078,0.950920245,2.18121911,1.172131148
Xanthine,4.288235294,7.521621622,1.202272727,7.983333333,1.320588235,2.227777778,10.27142857,3.395714286,5.96,0.937179487,4.243333333,4.869767442,4.238888889,1.515536723,2.461197339,4.857142857,4.223593964,1.711111111,1.63410302,2.837057728,1.088626292,2.722713864,3.49048913,4.606755127,5.89527027,2.435847209,2.835862069,1.930015552,2.889518414,3.358695652,2.617647059,2.047852761,3.044481054,2.432377049
Xylose,3.803921569,4.932432432,4.193181818,1.822222222,7.405882353,5.888888889,3.694285714,1.931428571,3.958333333,3.091025641,2.623333333,4.71627907,3.693055556,3.588983051,6.731707317,9.095238095,2.141289438,1.469230769,3.529307282,0.795158287,5.124076809,4.404129794,4.163043478,2.020506634,2.974662162,1.457394711,2.310344828,9.502332815,5.232294618,2.120923913,11.12009804,3.573006135,5.459637562,6.569672131
p-Cresol,0.094117647,0.062162162,0.036363636,0.044444444,0.044117647,0.194444444,0.1,0.05,0.126666667,0.025641026,0.061666667,0.037209302,0.047222222,0.031073446,0.146341463,0.173809524,0.0521262,0.032478632,0.088809947,0.067970205,0.066469719,0.060471976,0.058423913,0.112183353,0.116554054,0.108716944,0.07862069,0.108864697,0.067988669,0.101902174,0.102941176,0.051533742,0.097199341,0.069672131
?-Alanine,0.223529412,0.197297297,0.054545455,0.388888889,0.161764706,0.466666667,0.3,0.141428571,0.245,0.067948718,0.141666667,0.144186047,0.115277778,0.110169492,0.135254989,0.145238095,0.198902606,0.1,0.090586146,0.170391061,0.062038405,0.103244838,0.145380435,0.30880579,0.474662162,0.138099902,0.073103448,0.051321928,0.086402266,0.152173913,0.093137255,0.077300613,0.131795717,0.114754098
