,74.C.S.6,76.C.S.6,63.C.S.6,64.C.S.6,72.C.S.6,73.C.S.6,20.C.S.5,21.C.S.5,62.C.S.8,188.C.C.6,189.C.C.6,190.C.C.6,193.C.C.6,194.C.C.6,195.C.C.6,197.C.C.6,199.C.C.6,225.C.C.6,226.C.C.6,227.C.C.6,237.C.C.6,238.C.C.6,241.C.C.6,243.C.C.6,253.C.C.6,254.C.C.6,257.C.C.6,261.C.C.6,262.C.C.6,263.C.C.6
,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused
Isovalerate,0.072463768,0.141129032,0.140562249,0.180265655,0.19844358,0.326403326,0.225165563,0.059866962,0.340175953,0.077697842,0.042525773,0.115702479,0.052554745,0.054794521,0.100519931,0.042666667,0.0472879,0.13118527,0.041420118,0.064770932,0.030552291,0.039419087,0.031161473,0.04288499,0.14556962,0.04,0.02294686,0.045454545,0.023593466,0.028846154
L-Arginine,0.35610766,0.407258065,0.558232932,0.313092979,0.428015564,0.449064449,0.546357616,0.390243902,0.369501466,0.211510791,0.201030928,0.276859504,0.302189781,0.094748858,0.239168111,0.344,0.406119611,0.248561565,0.116370809,0.124802528,0.143360752,0.201244813,0.253541076,0.20662768,0.569620253,0.203333333,0.062801932,0.197860963,0.132486388,0.108974359
Lactate,9.538302277,24.31854839,24.74698795,15.25047438,9.031128405,4.885654886,27.14569536,11.23059867,17.80938416,6.116546763,8.980670103,8.630165289,8.81459854,4.53652968,9.003466205,7.744,9.134909597,1.345224396,9.258382643,5.015797788,4.532314924,8.002074689,6.147308782,6.760233918,20.97151899,6.398333333,6.760869565,15.98128342,18.48820327,14.92788462
Leucine,1.099378882,1.548387097,3.562248996,1.666034156,2.299610895,2.954261954,3.32781457,2.658536585,1.850439883,0.738129496,0.471649485,2.987603306,1.086131387,0.623287671,0.960138648,0.976,1.894297636,1.906789413,0.883629191,0.59399684,0.595769683,0.556016598,1.111898017,0.953216374,1.57278481,0.398333333,0.368357488,0.874331551,0.693284936,0.616987179
Lysine,1.689440994,3.052419355,7.562248996,4.309297913,3.739299611,7.542619543,5.990066225,6.059866962,3.876832845,1.362589928,1.835051546,5.838842975,2.941605839,1.441780822,2.651646447,1.52,3.560500695,3.562715765,1.449704142,1.605055292,1.238542891,1.512448133,2.412181303,1.635477583,5.443037975,1.16,1.050724638,3.36631016,1.784029038,1.578525641
Malonate,0.120082816,0.189516129,0.248995984,0.117647059,0.210116732,0.234927235,0.466887417,0.201773836,0.170087977,0.048920863,0.052835052,0.05785124,0.048175182,0.02739726,0.036395147,0.237333333,0.036161335,0.037974684,0.053254438,0.042654028,0.01880141,0.076763485,0.067988669,0.07797271,0.148734177,0.133333333,0.039855072,0.240641711,0.13430127,0.086538462
Mannose,0.182194617,0.383064516,1.353413655,0.622390892,0.385214008,0.918918919,0.258278146,1.002217295,0.211143695,0.063309353,0.292525773,1.002066116,0.637956204,0.050228311,0.863084922,0.296,0.991655076,0.181818182,0.175542406,0.063191153,0.109283196,0.114107884,0.174220963,0.066276803,0.731012658,0.101666667,0.106280193,0.144385027,0.10707804,0.076923077
Methionine,0.482401656,0.806451613,1.919678715,0.671726755,1.062256809,1.0997921,1.546357616,1.341463415,0.997067449,0.329496403,0.344072165,1.123966942,0.442335766,0.22260274,0.480069324,0.482666667,0.645340751,0.706559264,0.333333333,0.31121643,0.238542891,0.286307054,0.501416431,0.37037037,0.996835443,0.288333333,0.171497585,0.799465241,0.344827586,0.286858974
Methylamine,0.759834369,2.673387097,2.248995984,1.20113852,2.490272374,1.511434511,1.890728477,0.911308204,0.211143695,0.243165468,0.265463918,0.690082645,0.277372263,0.226027397,0.334488735,0.512,0.353268428,0.410817031,0.364891519,0.236966825,0.159811986,0.32780083,0.28470255,0.409356725,0.96835443,0.328333333,0.137681159,0.545454545,0.491833031,0.371794872
Nicotinate,0.215320911,0.487903226,1.726907631,0.815939279,0.968871595,1.126819127,0.854304636,0.869179601,0.809384164,0.189928058,0.255154639,1.022727273,0.738686131,0.318493151,0.726169844,0.296,0.656467316,0.560414269,0.228796844,0.282780411,0.135135135,0.238589212,0.114730878,0.235867446,1.003164557,0.113333333,0.157004831,0.347593583,0.239564428,0.304487179
