,47.M.S.8,44.M.S.8,51.C.S.8,50.C.S.8,42.C.S.8,40.C.S.8,269.M.S.9,270.M.S.9,272.M.S.9,211.M.S.9,159.M.S.10,170.M.S.10,183.C.S.10,173.M.S.10,169.M.S.10,164.M.S.9,216.C.S.10,206.C.S.10,208.C.S.10,222.C.S.10,179.C.S.10,174.C.S.11,218.C.S.10,224.M.S.9,215.M.S.10,184.C.S.10,202.M.S.10,146.M.S.11,203.M.S.10,201.M.S.10,12.M.S.9
,Mutant_Separate,Mutant_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate
Fumarate,0.097046414,0.216101695,0.288888889,0.285714286,0.125298329,0.181967213,0.111111111,0.138372093,0.184848485,0.064516129,0.039772727,0.286,0.15,0.073134328,0.116666667,0.105769231,0.219565217,0.145614035,0.088461538,0.157377049,0.198181818,0.070886076,0.191549296,0.058571429,0.05443038,0.065753425,0.3,0.0375,0.065753425,0.061904762,0.172248804
Galactose,4.334739803,2.555084746,2.046666667,1.880102041,1.144391408,1.180327869,2.862962963,0.794186047,3.03030303,1.958064516,0.936363636,3.64,7.076190476,2.746268657,3.986666667,1.919230769,2.539130435,3.024561404,4.175,6.075409836,1.52,2.410126582,2.069014085,1.164285714,1.435443038,1.582191781,2.05,1.0375,1.742465753,4.457142857,2.976076555
Glucose 1-phosphate,1.402250352,0.23940678,0.653333333,0.512755102,0.877088305,1.147540984,0.703703704,0.68255814,3.912121212,3.714516129,2.635227273,4.484,4.742857143,4.28358209,0.531666667,6.275,0.647826087,0.270175439,0.465384615,0.191803279,0.347272727,0.756962025,0.308450704,2.66,1.020253165,0.487671233,1.045,1.12875,2.523287671,6.992857143,1.137161085
Glutamate,3.316455696,1.493644068,2.34,2.522959184,1.254176611,2.901639344,4.796296296,4.788372093,3.312121212,0.874193548,1.680681818,5.91,4.911904762,2.340298507,2.05,3.778846154,3.280434783,1.847368421,1.823076923,1.804918033,1.46,1.889873418,2.271830986,2.192857143,0.805063291,1.764383562,3.415,2.1975,1.394520548,2.445238095,4.119617225
Glutamine,1.399437412,0.974576271,0.931111111,1.176020408,0.377088305,0.572131148,0.594444444,0.340697674,1.533333333,0.330645161,0.340909091,0.542,1.619047619,0.231343284,0.375,1.376923077,0.665217391,0.145614035,0.144230769,0.667213115,0.396363636,0.2,0.222535211,0.691428571,0.120253165,0.204109589,0.475,0.3,0.276712329,0.580952381,0.779904306
Glycine,1.637130802,1.012711864,1.288888889,1.729591837,0.581145585,1.403278689,1.911111111,1.415116279,1.43030303,0.759677419,0.668181818,1.392,1.228571429,0.850746269,0.856666667,2.782692308,1.636956522,0.452631579,0.569230769,0.995081967,0.409090909,0.383544304,0.46056338,0.964285714,0.302531646,0.373972603,0.575,0.445,0.287671233,0.928571429,1.145135566
Glycocholate,0.658227848,0.533898305,0.151111111,0.397959184,0.063245823,0.075409836,0.262962963,0.096511628,0.345454545,0.038709677,0.017045455,0.104,0.914285714,0.174626866,0.198333333,0.069230769,0.269565217,0.212280702,0.057692308,0.229508197,0.232727273,0.286075949,0.135211268,0.015714286,0.182278481,0.076712329,0.33,0.04875,0.156164384,0.035714286,0.038277512
Guanosine monophosphate,1.291139241,1.94279661,0.984444444,1.262755102,1.114558473,3.180327869,1.4,1.129069767,2.403030303,0.861290323,1.006818182,0.628,2.10952381,1.447761194,0.715,2.076923077,0.445652174,0.587719298,0.678846154,0.606557377,0.712727273,0.496202532,0.591549296,1.151428571,0.484810127,0.783561644,2.26,0.3625,1.37260274,1.35952381,0.767145136
Hexanoylcarnitine,0.091420534,0.059322034,0.046666667,0.145408163,0.022673031,0.068852459,0.055555556,0.041860465,0.263636364,0.290322581,0.05,0.058,0.502380952,0.097014925,0.213333333,0.086538462,0.313043478,0.19122807,0.328846154,0.159016393,0.318181818,0.075949367,0.030985915,0.085714286,0.210126582,0.07260274,0.2,0.03125,0.115068493,0.247619048,0.055821372
Histamine,0.050632911,0.074152542,0.037777778,0.056122449,0.015513126,0.059016393,0.116666667,0.115116279,0.139393939,0.1,0.080681818,0.184,0.219047619,0.092537313,0.12,0.138461538,0.156521739,0.066666667,0.084615385,0.072131148,0.08,0.055696203,0.061971831,0.062857143,0.065822785,0.084931507,0.13,0.0325,0.183561644,0.178571429,0.073365231
Histidine,0.509142053,0.220338983,0.464444444,0.571428571,0.159904535,0.381967213,0.174074074,0.156976744,0.324242424,0.262903226,0.289772727,0.656,0.780952381,0.252238806,0.46,0.811538462,0.380434783,0.245614035,0.269230769,0.259016393,0.287272727,0.2,0.222535211,0.288571429,0.17721519,0.191780822,0.795,0.1175,0.123287671,0.107142857,0.165869219
Hypoxanthine,0.05907173,0.133474576,0.068888889,0.109693878,0.025059666,0.052459016,0.075925926,0.059302326,0.066666667,0.025806452,0.018181818,0.132,0.069047619,0.071641791,0.056666667,0.090384615,0.047826087,0.050877193,0.076923077,0.090163934,0.047272727,0.051898734,0.04084507,0.055714286,0.037974684,0.064383562,0.075,0.0225,0.049315068,0.069047619,0.079744817
Inosine,0.156118143,0.099576271,0.048888889,0.091836735,0.065632458,0.22295082,0.331481481,0.186046512,0.124242424,0.041935484,0.161363636,0.324,0.061904762,0.201492537,0.026666667,0.507692308,0.054347826,0.031578947,0.069230769,0.054098361,0.038181818,0.036708861,0.063380282,0.3,0.029113924,0.036986301,0.16,0.155,0.052054795,0.045238095,0.339712919
Isobutyrate,1.279887482,1.072033898,1.002222222,1.910714286,0.787589499,1.285245902,0.612962963,1.084883721,1.542424242,0.266129032,0.348863636,0.594,0.069047619,0.332835821,0.205,0.605769231,0.565217391,0.249122807,0.286538462,0.578688525,0.327272727,0.179746835,0.361971831,0.53,0.158227848,0.239726027,0.365,0.36,0.093150685,0.25952381,0.328548644
Isoleucine,2.715893108,0.987288136,1.364444444,2.433673469,0.625298329,0.8,1.205555556,0.662790698,1.003030303,0.685483871,0.342045455,1.518,1.942857143,0.78358209,1.046666667,2.473076923,1.186956522,0.345614035,0.482692308,1.506557377,0.212727273,0.312658228,0.374647887,0.852857143,0.391139241,0.382191781,0.53,0.3775,0.391780822,1.464285714,1.070175439
