,51.C.S.8,50.C.S.8,42.C.S.8,40.C.S.8,225.C.C.9,226.C.C.9,227.C.C.9,257.C.C.9,243.C.C.9,253.C.C.9,254.C.C.9,261.C.C.9,262.C.C.9,188.C.C.9,189.C.C.9,190.C.C.9,193.C.C.9,194.C.C.9,195.C.C.9,197.C.C.9,199.C.C.9,263.C.C.9,237.C.C.9,238.C.C.9,183.C.S.10,216.C.S.10,206.C.S.10,208.C.S.10,222.C.S.10,179.C.S.10,174.C.S.11,218.C.S.10,184.C.S.10
,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate
Galactose,2.046666667,1.880102041,1.144391408,1.180327869,3.833333333,6.289830508,1.479245283,2.017142857,5.71754386,2.057391304,2.546808511,0.853521127,2.022352941,2.833636364,2.109259259,6.992063492,1.105319149,2.834375,4.273239437,2.968493151,2.151851852,2.101587302,2.945833333,3.363829787,7.076190476,2.539130435,3.024561404,4.175,6.075409836,1.52,2.410126582,2.069014085,1.582191781
Glucose 1-phosphate,0.653333333,0.512755102,0.877088305,1.147540984,0.14057971,3.401694915,2.058490566,1.24,0.663157895,0.243478261,0.285106383,0.157746479,0.207058824,0.057272727,0.083333333,0.079365079,0.144680851,0.2328125,0.3,0.149315068,0.561111111,0.136507937,0.297916667,0.521276596,4.742857143,0.647826087,0.270175439,0.465384615,0.191803279,0.347272727,0.756962025,0.308450704,0.487671233
Glutamate,2.34,2.522959184,1.254176611,2.901639344,1.566666667,3.445762712,0.641509434,3.401428571,2.159649123,3.251304348,2.859574468,1.657746479,2.710588235,2.538181818,1.988888889,2.250793651,3.555319149,3.284375,3.909859155,2.710958904,5.324074074,1.663492063,2,4.312765957,4.911904762,3.280434783,1.847368421,1.823076923,1.804918033,1.46,1.889873418,2.271830986,1.764383562
Glutamine,0.931111111,1.176020408,0.377088305,0.572131148,0.613043478,1.103389831,0.29245283,0.722857143,0.822807018,0.371304348,0.491489362,0.530985915,0.82,0.36,0.411111111,0.473015873,0.407446809,0.403125,0.652112676,0.308219178,1.231481481,0.404761905,1.252083333,0.478723404,1.619047619,0.665217391,0.145614035,0.144230769,0.667213115,0.396363636,0.2,0.222535211,0.204109589
Glycine,1.288888889,1.729591837,0.581145585,1.403278689,1.092753623,2.045762712,0.496226415,1.458571429,1.687719298,0.952173913,1.059574468,0.684507042,1.518823529,0.718181818,0.677777778,1.044444444,0.830851064,0.903125,1.045070423,0.798630137,1.990740741,0.573015873,0.560416667,0.891489362,1.228571429,1.636956522,0.452631579,0.569230769,0.995081967,0.409090909,0.383544304,0.46056338,0.373972603
Glycocholate,0.151111111,0.397959184,0.063245823,0.075409836,0.179710145,0.247457627,0.132075472,0.204285714,0.185964912,0.264347826,0.355319149,0.194366197,0.058823529,0.174545455,0.235185185,0.115873016,0.273404255,0.3328125,0.5,0.14109589,0.048148148,0.087301587,0.295833333,0.744680851,0.914285714,0.269565217,0.212280702,0.057692308,0.229508197,0.232727273,0.286075949,0.135211268,0.076712329
Guanosine monophosphate,0.984444444,1.262755102,1.114558473,3.180327869,0.095652174,0.723728814,0.943396226,2.307142857,0.678947368,0.46173913,1.027659574,0.473239437,1.288235294,1.009090909,1.157407407,0.796825397,0.741489362,1.6359375,1.03943662,1.064383562,1.305555556,0.807936508,1.03125,0.629787234,2.10952381,0.445652174,0.587719298,0.678846154,0.606557377,0.712727273,0.496202532,0.591549296,0.783561644
Hexanoylcarnitine,0.046666667,0.145408163,0.022673031,0.068852459,0.068115942,0.079661017,0.060377358,0.082857143,0.103508772,0.033043478,0.044680851,0.222535211,0.043529412,0.025454545,0.07962963,0.063492063,0.05,0.0359375,0.046478873,0.02739726,0.062962963,0.042857143,0.166666667,0.029787234,0.502380952,0.313043478,0.19122807,0.328846154,0.159016393,0.318181818,0.075949367,0.030985915,0.07260274
Histamine,0.037777778,0.056122449,0.015513126,0.059016393,0.066666667,0.077966102,0.077358491,0.121428571,0.10877193,0.057391304,0.25106383,0.161971831,0.131764706,0.062727273,0.101851852,0.092063492,0.094680851,0.1703125,0.14084507,0.076712329,0.174074074,0.141269841,0.266666667,0.140425532,0.219047619,0.156521739,0.066666667,0.084615385,0.072131148,0.08,0.055696203,0.061971831,0.084931507
Histidine,0.464444444,0.571428571,0.159904535,0.381967213,0.195652174,0.228813559,0.130188679,0.145714286,0.192982456,0.146956522,0.20212766,0.1,0.242352941,0.133636364,0.183333333,0.177777778,0.154255319,0.121875,0.095774648,0.075342466,0.209259259,0.115873016,0.183333333,0.134042553,0.780952381,0.380434783,0.245614035,0.269230769,0.259016393,0.287272727,0.2,0.222535211,0.191780822
Hypoxanthine,0.068888889,0.109693878,0.025059666,0.052459016,0.046376812,0.106779661,0.033962264,0.095714286,0.056140351,0.020869565,0.057446809,0.018309859,0.022352941,0.067272727,0.044444444,0.041269841,0.035106383,0.0515625,0.04084507,0.02739726,0.096296296,0.049206349,0.025,0.044680851,0.069047619,0.047826087,0.050877193,0.076923077,0.090163934,0.047272727,0.051898734,0.04084507,0.064383562
Inosine,0.048888889,0.091836735,0.065632458,0.22295082,0.027536232,0.133898305,0.054716981,0.357142857,0.059649123,0.152173913,0.042553191,0.021126761,0.263529412,0.162727273,0.027777778,0.095238095,0.24787234,0.1125,0.274647887,0.098630137,0.681481481,0.044444444,0.06875,0.138297872,0.061904762,0.054347826,0.031578947,0.069230769,0.054098361,0.038181818,0.036708861,0.063380282,0.036986301
Isobutyrate,1.002222222,1.910714286,0.787589499,1.285245902,0.904347826,1.13220339,0.41509434,0.942857143,1.256140351,0.542608696,0.865957447,0.407042254,1.051764706,0.686363636,0.462962963,1.10952381,0.555319149,1.184375,1.147887324,0.656164384,1.268518519,0.995238095,1.11875,1.00212766,0.069047619,0.565217391,0.249122807,0.286538462,0.578688525,0.327272727,0.179746835,0.361971831,0.239726027
Isoleucine,1.364444444,2.433673469,0.625298329,0.8,1.137681159,1.388135593,0.39245283,0.84,1.735087719,0.546956522,0.710638298,0.304225352,1.385882353,0.496363636,0.52962963,0.855555556,0.493617021,0.628125,0.629577465,0.383561644,1.522222222,0.4,0.404166667,0.574468085,1.942857143,1.186956522,0.345614035,0.482692308,1.506557377,0.212727273,0.312658228,0.374647887,0.382191781
