,51.C.S.8,50.C.S.8,42.C.S.8,40.C.S.8,225.C.C.9,226.C.C.9,227.C.C.9,257.C.C.9,243.C.C.9,253.C.C.9,254.C.C.9,261.C.C.9,262.C.C.9,188.C.C.9,189.C.C.9,190.C.C.9,193.C.C.9,194.C.C.9,195.C.C.9,197.C.C.9,199.C.C.9,263.C.C.9,237.C.C.9,238.C.C.9,183.C.S.10,216.C.S.10,206.C.S.10,208.C.S.10,222.C.S.10,179.C.S.10,174.C.S.11,218.C.S.10,184.C.S.10
,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate
Tyrosine,1.846666667,2.714285714,0.821002387,0.955737705,0.956521739,1.350847458,0.290566038,0.424285714,0.931578947,0.333043478,0.506382979,0.305633803,0.627058824,0.297272727,0.488888889,0.488888889,0.271276596,0.45625,0.363380282,0.202739726,0.840740741,0.401587302,0.402083333,0.587234043,1.385714286,0.92826087,0.359649123,0.382692308,1.114754098,0.316363636,0.265822785,0.274647887,0.302739726
UMP,0.3,0.364795918,0.360381862,0.952459016,0.214492754,1.045762712,0.196226415,0.824285714,0.20877193,0.28,0.4,0.126760563,0.598823529,0.304545455,0.305555556,0.265079365,0.360638298,0.440625,0.44084507,0.293150685,0.757407407,0.228571429,0.210416667,0.206382979,0.6,0.119565217,0.194736842,0.315384615,0.221311475,0.161818182,0.207594937,0.28028169,0.226027397
Uracil,1.488888889,0.897959184,1.396181384,3.278688525,1.984057971,5.283050847,0.324528302,3.064285714,1.768421053,2.340869565,1.995744681,0.849295775,3.072941176,1.745454545,1.003703704,1.992063492,2.493617021,1.9828125,2.807042254,2.11369863,5.694444444,0.788888889,1.2375,2.472340426,2.635714286,1.302173913,2.747368421,3.636538462,3.716393443,1.592727273,2.481012658,3.485915493,2.771232877
Urocanate,0.115555556,0.18877551,0.070405728,0.078688525,0.092753623,0.327118644,0.069811321,0.171428571,0.131578947,0.06,0.195744681,0.095774648,0.064705882,0.040909091,0.081481481,0.061904762,0.077659574,0.0703125,0.091549296,0.060273973,0.198148148,0.065079365,0.066666667,0.09787234,0.088095238,0.043478261,0.073684211,0.073076923,0.08852459,0.038181818,0.021518987,0.023943662,0.047945205
Valerate,0.357777778,0.163265306,0.446300716,0.937704918,0.468115942,0.662711864,0.167924528,0.717142857,0.368421053,0.585217391,0.317021277,0.157746479,0.541176471,0.335454545,0.096296296,0.246031746,0.159574468,0.39375,0.290140845,0.265753425,0.32962963,0.06984127,0.091666667,0.174468085,0.245238095,0.152173913,0.150877193,0.323076923,0.226229508,0.156363636,0.22278481,0.247887324,0.347945205
Valine,1.708888889,3.096938776,0.633651551,1.109836066,1.656521739,1.761016949,0.552830189,1.128571429,2.456140351,0.84,1.027659574,0.6,1.957647059,0.749090909,0.775925926,1.314285714,0.769148936,0.9953125,1.076056338,0.646575342,2.4,0.738095238,0.622916667,0.942553191,2.576190476,1.893478261,0.570175439,0.726923077,1.998360656,0.352727273,0.484810127,0.509859155,0.468493151
Xanthine,2.177777778,1.619897959,1.936754177,3.644262295,2.136231884,4.706779661,0.545283019,2.818571429,3.026315789,3.173913043,2.761702128,1.164788732,4.001176471,2.052727273,1.098148148,3.033333333,2.827659574,3.01875,3.354929577,2.920547945,7.607407407,1.347619048,1.614583333,3.00212766,1.623809524,0.6,1.552631579,2.373076923,2.932786885,1.065454545,1.675949367,1.991549296,1.602739726
Xylose,1.475555556,1.56122449,1.192124105,0.727868852,1.656521739,2.511864407,0.49245283,0.58,1.857894737,0.857391304,1.657446809,1.090140845,0.784705882,0.928181818,3.918518519,2.192063492,1.118085106,2.2984375,1.96056338,0.912328767,1.838888889,1.757142857,4.59375,4.321276596,8.745238095,0.995652174,3.11754386,2.025,1.627868852,1.507272727,2.963291139,0.976056338,2.149315068
p-Cresol,0.097777778,0.091836735,0.027446301,0.032786885,0.085507246,0.072881356,0.026415094,0.027142857,0.08245614,0.032173913,0.046808511,0.088732394,0.035294118,0.013636364,0.062962963,0.019047619,0.032978723,0.0328125,0.032394366,0.030136986,0.035185185,0.074603175,0.079166667,0.087234043,0.254761905,0.089130435,0.122807018,0.109615385,0.095081967,0.141818182,0.059493671,0.077464789,0.05890411
?-Alanine,0.173333333,0.221938776,0.082338902,0.21147541,0.124637681,0.06440678,0.066037736,0.117142857,0.096491228,0.145217391,0.089361702,0.076056338,0.109411765,0.093636364,0.077777778,0.073015873,0.104255319,0.06875,0.112676056,0.080821918,0.418518519,0.077777778,0.09375,0.114893617,0.307142857,0.093478261,0.075438596,0.111538462,0.116393443,0.129090909,0.074683544,0.050704225,0.117808219
