Sample ID,188.C.C.3,189.C.C.3,190.C.C.3,193.C.C.3,194.C.C.3,197.C.C.3,199.C.C.3,225.C.C.3,226.C.C.3,227.C.C.3,257.C.C.3,23.C.S.3,25.C.S.3,26.C.S.3,59.C.S.3,60.C.S.3,35.C.S.3,36.C.S.3,38.C.S.3,30.C.S.4,31.C.S.4,74.C.S.3,76.C.S.3,68.C.S.3,69.C.S.3,70.C.S.3,45.C.S.3,46.C.S.3,48.C.S.3,53.C.S.3,57.C.S.3,62.C.S.3,63.C.S.3,64.C.S.3,72.C.S.3,73.C.S.3,51.C.S.3,50.C.S.3,42.C.S.3,40.C.S.3
Group,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate
Hypoxanthine,0.22,0.121621622,0.205,0.048979592,0.05942029,0.089130435,0.076315789,0.0725,0.085294118,0.069047619,0.052,0.024050633,0.075,0.071186441,0.075156576,0.096463023,0.094155844,0.045378151,0.039647577,0.202312139,0.047619048,0.03861518,0.115079365,0.131979695,0.144385027,0.057815846,0.241176471,0.169014085,0.18061674,0.131004367,0.078774617,0.158139535,0.129120879,0.152941176,0.164983165,0.039215686,0.041724618,0.12585034,0.118081181,0.162878788
Inosine,0.8575,0.775675676,0.7375,0.040816327,0.624637681,0.836956522,0.184210526,0.075,1.329411765,0.79047619,0.05,0.118987342,0.308928571,0.091525424,0.17954071,0.096463023,0.058441558,0.12605042,0.205947137,0.25433526,0.315911731,0.548601864,0.111111111,0.596446701,0.144385027,0.098501071,0.323529412,0.676056338,0.154185022,0.139737991,0.610503282,0.046511628,0.21978022,1.823529412,0.111111111,0.286576169,0.349095967,0.071428571,0.055350554,1.079545455
Isobutyrate,0.85,1.013513514,0.9375,0.569387755,0.546376812,0.480434783,0.318421053,0.55,1.067647059,0.673809524,0.248,0.235443038,0.5625,1.4,0.893528184,0.742765273,0.577922078,0.336134454,0.364537445,0.846820809,0.655052265,0.716378162,0.492063492,1.162436548,1.037433155,0.749464668,2.4,2.20657277,1.105726872,0.80349345,1.612691466,1.348837209,0.978021978,2.129411765,0.555555556,0.408748115,0.702364395,0.581632653,0.36900369,2.238636364
Isoleucine,2.2975,2.048648649,2.225,0.648979592,1.326086957,1.897826087,0.639473684,0.675,4.629411765,1.661904762,0.982,0.74556962,1.6625,7.120338983,1.329853862,0.893890675,0.737012987,0.818487395,0.918502203,1.179190751,1.6271777,1.989347537,1.503968254,2.827411168,2.352941176,0.582441113,1.952941176,2.483568075,2.185022026,1.065502183,3.549234136,0.68372093,1.239010989,9.752941176,1.225589226,1.039215686,1.514603616,1.102040816,0.841328413,4.386363636
Isovalerate,0.26,0.245945946,0.2875,0.046938776,0.143478261,0.215217391,0.044736842,0.09,0.502941176,0.185714286,0.088,0.105063291,0.148214286,0.494915254,0.141962422,0.064308682,0.064935065,0.117647059,0.145374449,0.219653179,0.146341463,0.280958722,0.107142857,0.28680203,0.14973262,0.201284797,0.088235294,0.23943662,0.092511013,0.11790393,0.433260394,0.055813953,0.151098901,1.147058824,0.151515152,0.194570136,0.171070932,0.197278912,0.121771218,0.553030303
L-Arginine,0.3975,0.454054054,0.285,0.224489796,0.227536232,0.610869565,0.386842105,0.1525,0.741176471,0.376190476,0.238,0.044303797,0.214285714,0.76779661,0.194154489,0.21221865,0.220779221,0.14789916,0.063876652,0.341040462,0.152148664,0.296937417,0.166666667,0.228426396,0.465240642,0.199143469,1.052941176,0.436619718,0.321585903,0.406113537,0.590809628,0.353488372,0.39010989,1.747058824,0.262626263,0.214177979,0.33240612,0.214285714,0.180811808,0.890151515
Lactate,19.295,13.46756757,9.8625,15.33061224,5.113043478,3.545652174,15.96578947,5.7475,15.06764706,14.65714286,11.466,9.607594937,5.492857143,2.913559322,29.06471816,10.23472669,15.97727273,9.754621849,7.803964758,17.83526012,11.33565621,4.846870839,16.73809524,12.92639594,20.61497326,3.310492505,38.72941176,14.14084507,43.86343612,16.75982533,23.2166302,24.08372093,28.43131868,43.07647059,17.38047138,6.628959276,10.3310153,16.73469388,9.05904059,10.57575758
Leucine,3.1675,2.575675676,3.205,1.144897959,1.731884058,3.008695652,1.039473684,1.2,6.847058824,2.892857143,1.95,1.201265823,2.657142857,9.218644068,2.03131524,1.353697749,1.13961039,1.010084034,1.25,1.774566474,2.138211382,2.914780293,2.202380952,4.454314721,2.77540107,0.815845824,3.370588235,3.802816901,3.519823789,2.061135371,4.503282276,1.386046512,1.755494505,11.98235294,1.683501684,1.532428356,1.76216968,1.537414966,1.313653137,7.291666667
Lysine,7.915,5.943243243,5.9075,1.402040816,3.517391304,5.276086957,2.239473684,1.625,12.10588235,4.885714286,2.784,1.750632911,3.985714286,8.927118644,5.565762004,2.495176849,1.805194805,2.27394958,2.689427313,5.104046243,3.260162602,6.101198402,3.773809524,8.80964467,6.171122995,2.141327623,9.6,7.784037559,5.863436123,3.122270742,8.210065646,1.930232558,4.612637363,23.8,3.410774411,3.051282051,4.52433936,3.962585034,1.981549815,10.52651515
Malonate,0.2325,0.3,0.2925,0.132653061,0.066666667,0.110869565,0.202631579,0.135,0.364705882,0.130952381,0.192,0.150632911,0.25,0.354237288,0.21085595,0.218649518,0.165584416,0.157983193,0.135462555,0.26300578,0.18931475,0.16644474,0.734126984,0.329949239,0.652406417,0.321199143,1.129411765,0.474178404,0.233480176,0.441048035,0.269146608,0.441860465,0.288461538,1.364705882,0.249158249,0.107088989,0.175243394,0.340136054,0.21402214,0.488636364
