,47.M.S.8,44.M.S.8,228.M.C.9,229.M.C.9,255.M.C.9,256.M.C.9,242.M.C.9,252.M.C.9,259.M.C.9,186.M.C.9,187.M.C.9,191.M.C.9,192.M.C.9,198.M.C.9,236.M.C.9,269.M.S.9,270.M.S.9,272.M.S.9,211.M.S.9,159.M.S.10,170.M.S.10,173.M.S.10,169.M.S.10,164.M.S.9,224.M.S.9,215.M.S.10,202.M.S.10,146.M.S.11,203.M.S.10,201.M.S.10,12.M.S.9
,Mutant_Separate,Mutant_Separate,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate
Galactose,4.334739803,2.555084746,2.275,1.817592593,1.569491525,2.041860465,2.59245283,5.951785714,5.144736842,3.703225806,4.2,5.41147541,3.729824561,8.215625,4.7925,2.862962963,0.794186047,3.03030303,1.958064516,0.936363636,3.64,2.746268657,3.986666667,1.919230769,1.164285714,1.435443038,2.05,1.0375,1.742465753,4.457142857,2.976076555
Glucose 1-phosphate,1.402250352,0.23940678,8.043181818,1.869444444,0.120338983,1.520930233,1.722641509,0.6125,0.447368421,0.183870968,2.226315789,0.316393443,0.256140351,0.5375,1.2825,0.703703704,0.68255814,3.912121212,3.714516129,2.635227273,4.484,4.28358209,0.531666667,6.275,2.66,1.020253165,1.045,1.12875,2.523287671,6.992857143,1.137161085
Glutamate,3.316455696,1.493644068,2.859090909,3.134259259,2.638983051,3.86744186,2.279245283,6.176785714,4.228947368,2.011290323,6.2,2.336065574,1.877192982,1.984375,5.715,4.796296296,4.788372093,3.312121212,0.874193548,1.680681818,5.91,2.340298507,2.05,3.778846154,2.192857143,0.805063291,3.415,2.1975,1.394520548,2.445238095,4.119617225
Glutamine,1.399437412,0.974576271,0.609090909,0.493518519,0.452542373,0.841860465,0.337735849,0.848214286,0.5,0.85483871,2.531578947,0.804918033,1.043859649,1.54375,1.1525,0.594444444,0.340697674,1.533333333,0.330645161,0.340909091,0.542,0.231343284,0.375,1.376923077,0.691428571,0.120253165,0.475,0.3,0.276712329,0.580952381,0.779904306
Glycine,1.637130802,1.012711864,1.190909091,1.141666667,1.133898305,2.113953488,0.875471698,2.316071429,1.597368421,0.703225806,2.315789474,0.714754098,0.598245614,0.809375,2.4425,1.911111111,1.415116279,1.43030303,0.759677419,0.668181818,1.392,0.850746269,0.856666667,2.782692308,0.964285714,0.302531646,0.575,0.445,0.287671233,0.928571429,1.145135566
Glycocholate,0.658227848,0.533898305,0.163636364,0.036111111,1.008474576,0.234883721,0.69245283,0.276785714,0.202631579,0.170967742,0.468421053,0.444262295,0.210526316,0.121875,0.2825,0.262962963,0.096511628,0.345454545,0.038709677,0.017045455,0.104,0.174626866,0.198333333,0.069230769,0.015714286,0.182278481,0.33,0.04875,0.156164384,0.035714286,0.038277512
Guanosine monophosphate,1.291139241,1.94279661,1.640909091,0.643518519,1.362711864,0.941860465,1.449056604,1.028571429,2.726315789,1.093548387,3.594736842,1.245901639,1.1,2.45625,1.75,1.4,1.129069767,2.403030303,0.861290323,1.006818182,0.628,1.447761194,0.715,2.076923077,1.151428571,0.484810127,2.26,0.3625,1.37260274,1.35952381,0.767145136
Hexanoylcarnitine,0.091420534,0.059322034,0.061363636,0.036111111,0.042372881,0.209302326,0.039622642,0.103571429,0.076315789,0.05,0.805263158,0.147540984,0.064912281,0.178125,0.1175,0.055555556,0.041860465,0.263636364,0.290322581,0.05,0.058,0.097014925,0.213333333,0.086538462,0.085714286,0.210126582,0.2,0.03125,0.115068493,0.247619048,0.055821372
Histamine,0.050632911,0.074152542,0.111363636,0.071296296,0.133898305,0.258139535,0.050943396,0.164285714,0.110526316,0.248387097,0.194736842,0.383606557,0.257894737,0.1625,0.2325,0.116666667,0.115116279,0.139393939,0.1,0.080681818,0.184,0.092537313,0.12,0.138461538,0.062857143,0.065822785,0.13,0.0325,0.183561644,0.178571429,0.073365231
Histidine,0.509142053,0.220338983,0.306818182,0.067592593,0.120338983,0.181395349,0.266037736,0.275,0.215789474,0.170967742,0.436842105,0.145901639,0.177192982,0.1875,0.1575,0.174074074,0.156976744,0.324242424,0.262903226,0.289772727,0.656,0.252238806,0.46,0.811538462,0.288571429,0.17721519,0.795,0.1175,0.123287671,0.107142857,0.165869219
Hypoxanthine,0.05907173,0.133474576,0.038636364,0.055555556,0.038983051,0.034883721,0.035849057,0.067857143,0.071052632,0.062903226,0.168421053,0.054098361,0.057894737,0.05,0.09,0.075925926,0.059302326,0.066666667,0.025806452,0.018181818,0.132,0.071641791,0.056666667,0.090384615,0.055714286,0.037974684,0.075,0.0225,0.049315068,0.069047619,0.079744817
Inosine,0.156118143,0.099576271,0.088636364,0.151851852,0.028813559,0.044186047,0.128301887,0.3,0.218421053,0.062903226,0.121052632,0.093442623,0.054385965,0.1,0.17,0.331481481,0.186046512,0.124242424,0.041935484,0.161363636,0.324,0.201492537,0.026666667,0.507692308,0.3,0.029113924,0.16,0.155,0.052054795,0.045238095,0.339712919
Isobutyrate,1.279887482,1.072033898,0.513636364,0.315740741,0.601694915,0.96744186,0.430188679,0.85,1.15,0.772580645,4.626315789,1.052459016,1.157894737,3.30625,0.235,0.612962963,1.084883721,1.542424242,0.266129032,0.348863636,0.594,0.332835821,0.205,0.605769231,0.53,0.158227848,0.365,0.36,0.093150685,0.25952381,0.328548644
Isoleucine,2.715893108,0.987288136,0.852272727,0.781481481,0.691525424,1.96744186,0.537735849,1.666071429,0.826315789,0.535483871,1.252631579,0.48852459,0.41754386,0.503125,2.1425,1.205555556,0.662790698,1.003030303,0.685483871,0.342045455,1.518,0.78358209,1.046666667,2.473076923,0.852857143,0.391139241,0.53,0.3775,0.391780822,1.464285714,1.070175439
Isovalerate,0.191279887,0.120762712,0.118181818,0.105555556,0.055932203,0.081395349,0.083018868,0.273214286,0.171052632,0.062903226,0.068421053,0.037704918,0.021052632,0.034375,0.045,0.15,0.098837209,0.103030303,0.062903226,0.097727273,0.172,0.088059701,0.056666667,0.090384615,0.117142857,0.03164557,0.055,0.11375,0.019178082,0.085714286,0.132376396
L-Arginine,0.672292546,0.163135593,0.402272727,0.209259259,0.181355932,0.418604651,0.252830189,0.266071429,0.260526316,0.130645161,0.3,0.12295082,0.112280702,0.35,0.5075,0.146296296,0.219767442,0.618181818,0.248387097,0.214772727,0.05,0.273134328,0.313333333,0.678846154,0.284285714,0.149367089,0.29,0.0125,0.17260274,0.604761905,0.205741627
Lactate,3.243319269,6.370762712,5.425,1.798148148,6.250847458,22.40465116,1.281132075,3.776785714,15.82368421,8.387096774,23.29473684,4.037704918,9.819298246,10.7375,7.1675,4.766666667,4.477906977,8.606060606,7.033870968,1.9875,6.968,6.617910448,7.405,9.101923077,3.945714286,13.76962025,13.19,2.1325,15.65753425,23.41428571,10.00478469
Leucine,2.797468354,1.158898305,1.463636364,0.815740741,0.789830508,3.248837209,0.633962264,2.257142857,1.310526316,0.880645161,2.105263158,0.62295082,0.622807018,0.81875,2.5375,1.722222222,0.945348837,1.739393939,1.046774194,0.677272727,1.706,1.020895522,1.595,3.638461538,1.451428571,0.705063291,0.745,0.585,0.794520548,2.614285714,1.215311005
Lysine,3.652601969,1.536016949,1.740909091,1.57962963,1.757627119,2.858139535,1.016981132,3.073214286,2.444736842,1.34516129,3.568421053,1.562295082,1.335087719,1.7125,3.3,2.564814815,1.753488372,2.815151515,1.159677419,1.778409091,3.758,2.265671642,2.275,6.025,2.62,1.083544304,1.81,1.5475,1.194520548,2.621428571,2.673046252
Malonate,0.070323488,0.137711864,0.075,0.037962963,0.115254237,0.193023256,0.037735849,0.110714286,0.118421053,0.037096774,0.205263158,0.019672131,0.105263158,0.134375,0.1325,0.1,0.039534884,0.136363636,0.1,0.070454545,0.186,0.120895522,0.041666667,0.126923077,0.074285714,0.108860759,0.24,0.06125,0.15890411,0.15952381,0.148325359
