,71.M.S.6,65.M.S.6,47.M.S.6,44.M.S.6,67.M.S.6,74.C.S.6,76.C.S.6,63.C.S.6,64.C.S.6,72.C.S.6,73.C.S.6,269.M.S.6,270.M.S.6,272.M.S.6,22.M.S.5,20.C.S.5,21.C.S.5,12.M.S.6,62.C.S.8
,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Control_Separate,Mutant_Separate,Control_Separate
Inosine,0.367775832,0.924162257,1.449275362,0.071428571,0.463519313,0.095238095,0.185483871,1.21686747,0.652751423,0.214007782,0.738045738,0.033333333,0.138461538,0.307692308,0.176706827,0.271523179,0.818181818,0.158203125,0.478005865
Isobutyrate,0.80385289,0.467372134,0.949275362,0.607142857,1.072961373,0.378881988,0.782258065,0.919678715,0.462998102,0.949416342,0.711018711,2.208333333,1.546153846,0.387179487,0.309236948,1,0.649667406,0.353515625,0.985337243
Isoleucine,1.012259194,1.331569665,1.403381643,0.62797619,3.253218884,0.66873706,1.112903226,2.59437751,1.191650854,1.354085603,2.17047817,0.888888889,1.061538462,0.593589744,1.012048193,1.48013245,2.164079823,0.978515625,1.7771261
Isovalerate,0.206654991,0.165784832,0.224637681,0.053571429,0.077253219,0.072463768,0.141129032,0.140562249,0.180265655,0.19844358,0.326403326,0.030555556,0.069230769,0.051282051,0.135207497,0.225165563,0.059866962,0.107421875,0.340175953
L-Arginine,0.273204904,0.363315697,0.548309179,0.279761905,0.944206009,0.35610766,0.407258065,0.558232932,0.313092979,0.428015564,0.449064449,0.319444444,0.319230769,0.135897436,0.15394913,0.546357616,0.390243902,0.16796875,0.369501466
Lactate,12.16812609,3.126984127,6.623188406,24.99107143,2.832618026,9.538302277,24.31854839,24.74698795,15.25047438,9.031128405,4.885654886,59.31388889,7.376923077,2.691025641,5.741633199,27.14569536,11.23059867,10.53320313,17.80938416
Leucine,1.334500876,1.733686067,2.074879227,1.056547619,4.420600858,1.099378882,1.548387097,3.562248996,1.666034156,2.299610895,2.954261954,1.588888889,1.407692308,0.679487179,1.250334672,3.32781457,2.658536585,1.318359375,1.850439883
Lysine,2.50262697,3.687830688,6.492753623,2.693452381,7.175965665,1.689440994,3.052419355,7.562248996,4.309297913,3.739299611,7.542619543,3.936111111,3.157692308,1.933333333,2.870147256,5.990066225,6.059866962,2.548828125,3.876832845
Malonate,0.245183888,0.176366843,0.140096618,0.074404762,0.248927039,0.120082816,0.189516129,0.248995984,0.117647059,0.210116732,0.234927235,0.080555556,0.084615385,0.043589744,0.203480589,0.466887417,0.201773836,0.0703125,0.170087977
Mannose,0.511383538,1.71957672,0.963768116,0.360119048,0.253218884,0.182194617,0.383064516,1.353413655,0.622390892,0.385214008,0.918918919,0.263888889,0.4,0.379487179,0.175368139,0.258278146,1.002217295,0.400390625,0.211143695
