,71.M.S.6,65.M.S.6,47.M.S.6,44.M.S.6,67.M.S.6,74.C.S.6,76.C.S.6,63.C.S.6,64.C.S.6,72.C.S.6,73.C.S.6,269.M.S.6,270.M.S.6,272.M.S.6,22.M.S.5,20.C.S.5,21.C.S.5,12.M.S.6,62.C.S.8,186.M.C.6,187.M.C.6,188.C.C.6,189.C.C.6,190.C.C.6,191.M.C.6,192.M.C.6,193.C.C.6,194.C.C.6,195.C.C.6,197.C.C.6,198.M.C.6,199.C.C.6,225.C.C.6,226.C.C.6,227.C.C.6,228.M.C.6,229.M.C.6,236.M.C.6,237.C.C.6,238.C.C.6,241.C.C.6,242.M.C.6,243.C.C.6,252.M.C.6,253.C.C.6,254.C.C.6,255.M.C.6,256.M.C.6,257.C.C.6,259.M.C.6,261.C.C.6,262.C.C.6,263.C.C.6
,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Control_Separate,Mutant_Separate,Control_Separate,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused
Formate,1.308231173,2.052910053,1.393719807,2.410714286,2.78111588,1.163561077,2.721774194,2.578313253,1.127134725,2.369649805,1.257796258,1.147222222,1.603846154,0.435897436,0.646586345,1.78807947,0.871396896,0.451171875,1.718475073,0.923954373,1.304123711,0.656115108,0.548969072,1.061983471,0.754658385,1.294871795,0.694890511,0.488584475,0.7694974,1.405333333,0.842028986,0.66759388,0.665132336,1.015779093,0.737756714,1.091703057,0.741176471,0.60929432,0.547591069,0.939834025,0.729461756,1.025,0.95711501,0.918330309,1.655063291,0.846666667,0.636758321,0.951476793,1.019323671,1.307291667,1.494652406,0.827586207,0.84775641
Fucose,0.541155867,0.255731922,1.077294686,1.142857143,2.56223176,0.293995859,1.592741935,2.389558233,0.470588235,1.042801556,0.74012474,0.775,1.838461538,0.617948718,0.623828648,2.122516556,1.037694013,0.526367188,0.824046921,0.963878327,0.948453608,0.620143885,0.427835052,0.79338843,0.833850932,1.169230769,0.198540146,0.7043379,0.24610052,0.842666667,0.717391304,0.258692629,0.921749137,0.556213018,0.434439179,0.829694323,0.617647059,0.555938038,0.490011751,0.975103734,0.617563739,0.551785714,0.8791423,0.974591652,1.591772152,0.626666667,0.455861071,1.337552743,0.34057971,0.6015625,1.061497326,0.969147005,0.636217949
Fumarate,0.134851138,0.116402116,0.166666667,0.375,0.326180258,0.072463768,0.157258065,0.40562249,0.161290323,0.303501946,0.158004158,0.272222222,0.276923077,0.06025641,0.163319946,0.334437086,0.128603104,0.1953125,0.425219941,0.163498099,0.12628866,0.139568345,0.073453608,0.320247934,0.114906832,0.261538462,0.093430657,0.055936073,0.08492201,0.12,0.079710145,0.080667594,0.113924051,0.084812623,0.194312796,0.074235808,0.085294118,0.079173838,0.205640423,0.099585062,0.062322946,0.071428571,0.105263158,0.087114338,0.129746835,0.126666667,0.153400868,0.14978903,0.120772947,0.338541667,0.310160428,0.139745917,0.149038462
Galactose,3.814360771,2.358024691,6.043478261,3.255952381,11.05150215,1.944099379,7.072580645,9.16064257,3.117647059,4.151750973,4.912681913,2.744444444,4.015384615,2.661538462,2.137884873,7.298013245,4.128603104,3.241210938,3.580645161,3.910646388,3.889175258,2.610071942,1.572164948,5.960743802,5.035714286,5.702564103,1.367883212,3.111872146,1.511265165,2.848,1.923188406,1.663421419,4.642117376,2.313609467,1.693522907,3.427947598,3.363235294,2.060240964,1.96239718,4.417012448,3.26203966,2.210714286,4.575048733,2.78584392,4.518987342,2.676666667,1.645441389,4.510548523,0.967391304,1.854166667,2.740641711,3.094373866,3.709935897
Glucose 1-phosphate,1.208406305,4.088183422,2.224637681,0.613095238,2.21888412,1.198757764,1.673387097,8.168674699,0.977229602,19.60700389,3.172557173,0.375,0.346153846,0.13974359,0.669344043,3.771523179,2.368070953,0.549804688,0.739002933,1.520912548,1.902061856,0.749640288,0.804123711,1.084710744,0.72515528,0.512820513,0.700729927,0.173515982,0.890814558,0.498666667,0.789855072,1.853963839,0.359033372,0.686390533,0.429699842,2.462882096,2.039705882,0.325301205,0.19506463,1.919087137,0.424929178,1.342857143,0.477582846,0.255898367,0.848101266,0.536666667,0.251808973,0.26371308,0.11352657,0.395833333,0.243315508,0.274047187,0.358974359
Glutamate,4.028021016,3.716049383,9.166666667,2.401785714,10.54077253,1.33126294,2.592741935,6.847389558,4.127134725,6.758754864,3.611226611,1.891666667,4.438461538,2.993589744,7.21686747,10.79470199,3.483370288,2.788085938,4.618768328,2.266159696,2.636597938,1.631654676,1.365979381,6.834710744,3.465838509,2.4,3.979562044,2.081050228,4.194107452,1.509333333,0.985507246,3.061196106,3.622554661,1.122287968,2.214849921,1.796943231,5.347058824,0.944922547,1.206815511,1.149377593,1.203966006,1.923214286,1.191033138,1.105263158,5.392405063,0.845,1.551374819,2.339662447,0.834541063,2.0546875,3.759358289,1.143375681,1.461538462
Glutamine,0.823117338,1.02292769,1.002415459,0.910714286,1.313304721,0.480331263,0.637096774,1.253012048,0.817836812,1.322957198,1.305613306,0.930555556,2.003846154,0.51025641,0.414993307,1.860927152,1.536585366,0.446289063,1.014662757,1.346007605,1.103092784,0.588489209,0.581185567,1.665289256,0.566770186,1.305128205,0.791240876,0.280821918,0.651646447,1.538666667,1.133333333,1.012517385,0.699654776,0.603550296,0.227488152,0.694323144,1.052941176,0.946643718,0.387779083,0.877593361,0.494334278,1.205357143,0.660818713,0.426497278,1.148734177,0.693333333,0.264833575,0.706751055,0.687198068,0.572916667,0.5,0.517241379,0.488782051
Glycine,1.1558669,1.315696649,1.789855072,0.827380952,2.399141631,0.610766046,1.169354839,2.763052209,1.146110057,1.540856031,1.715176715,1.180555556,1.415384615,0.835897436,1.136546185,2.158940397,1.762749446,0.833984375,2.219941349,1.589353612,1.103092784,0.808633094,0.777061856,2.944214876,1.559006211,1.266666667,1.182481752,0.543378995,1.332755633,0.525333333,0.349275362,1.556328234,1.330264672,0.587771203,0.693522907,0.962882096,1.911764706,0.273666093,0.410105758,0.43153527,0.562322946,0.683928571,0.561403509,0.370235935,1.778481013,0.373333333,0.377713459,0.801687764,0.241545894,0.674479167,0.949197861,0.626134301,0.604166667
Glycocholate,0.049036778,0.031746032,0.02173913,0.035714286,0.115879828,0.045548654,0.076612903,0.044176707,0.017077799,0.093385214,0.016632017,0.052777778,0.165384615,0.187179487,0.147255689,1.112582781,0.22172949,0.083007813,0.609970674,0.262357414,0.231958763,0.21294964,0.56443299,0.423553719,0.043478261,0.048717949,0.157664234,0.143835616,0.064124783,0.077333333,0.023188406,0.11821975,0.141542002,0.053254438,0.195892575,0.030567686,0.020588235,0.197934596,0.17626322,0.045643154,0.242209632,0.0375,0.062378168,0.099818512,0.158227848,0.13,0.164978292,0.687763713,0.077294686,0.21875,0.644385027,0.078039927,0.128205128
Guanosine monophosphate,0.528896673,1.074074074,1.323671498,0.717261905,1.021459227,1.134575569,1.346774194,4.064257028,1.738140417,2.420233463,2.047817048,1.088888889,3.05,1.458974359,0.323962517,3.695364238,3.833702882,0.546875,4.865102639,1.271863118,1.296391753,1.070503597,1.24742268,2.006198347,1.304347826,1.679487179,1.204379562,0.501141553,1.225303293,0.6,0.466666667,1.158553547,0.596087457,0.619329389,0.897314376,0.836244541,1.185294118,0.800344234,0.526439483,0.742738589,0.597733711,0.875,0.635477583,0.813067151,2.762658228,0.311666667,0.929088278,1.860759494,0.519323671,1.440104167,2.417112299,1.076225045,0.90224359
