Sample ID,186.M.C.3,187.M.C.3,188.C.C.3,189.C.C.3,190.C.C.3,191.M.C.3,192.M.C.3,193.C.C.3,194.C.C.3,197.C.C.3,198.M.C.3,199.C.C.3,225.C.C.3,226.C.C.3,227.C.C.3,228.M.C.3,229.M.C.3,255.M.C.3,256.M.C.3,257.C.C.3
Group,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused
Butyrate,10.70196078,4.459459459,10.37,13.03513514,9.955,3.202272727,19.675,2.740816327,6.123188406,9.639130435,2.817647059,3.602631579,3.22,10.42941176,7.307142857,1.972222222,7.251428571,8.937209302,6.379166667,1.554
Chenodeoxycholic acid,0.017647059,0.467567568,0.3625,0.078378378,0.055,1.677272727,1.891666667,0.748979592,0.962318841,0.723913043,0.176470588,2.505263158,0.285,0.155882353,0.04047619,0.85,0.12,0.246511628,0.025,0.452
Cholate,0.003921569,0.027027027,0.0225,0.016216216,0.015,0.047727273,0.013888889,0.108163265,0.004347826,0.013043478,0.355882353,0.144736842,0.36,0.020588235,0.00952381,1.177777778,0.025714286,0.023255814,0.002777778,0.376
Choline,1.770588235,2.275675676,2.5825,3.448648649,3.1275,0.620454545,1.975,0.589795918,1.156521739,3.104347826,1.194117647,1.360526316,0.8625,6.179411765,5.707142857,1.983333333,5.9,3.376744186,1.191666667,0.642
Cytidine monophosphate,0.419607843,0.921621622,0.855,0.302702703,0.33,0.581818182,0.736111111,0.246938776,0.573913043,0.315217391,0.5,0.576315789,0.41,0.438235294,0.266666667,1.6,0.92,0.41627907,0.302777778,0.52
D-Glucose,6.970588235,5.016216216,1.855,14.52972973,7.545,3.304545455,6.361111111,1.689795918,2.353623188,11.58478261,2.332352941,1.936842105,5.18,7.352941176,10.25714286,5.561111111,26.20571429,7.43255814,3.133333333,0.572
Dimethylamine,0.003921569,0.032432432,0.04,0.313513514,0.035,0.047727273,0.022222222,0.171428571,0.024637681,0.02173913,0.467647059,0.036842105,0.05,0.026470588,0.035714286,0.211111111,0.2,0.13255814,0.020833333,0.218
Ferulate,0.103921569,0.197297297,0.07,0.097297297,0.0575,0.161363636,0.066666667,0.283673469,0.04057971,0.095652174,0.35,0.136842105,0.1025,0.105882353,0.071428571,0.666666667,0.102857143,0.090697674,0.1,0.196
Formate,0.923529412,1.554054054,1.23,1.413513514,1.56,1.111363636,1.322222222,1.86122449,0.844927536,1.326086957,1.75,1.268421053,1.2325,1.6,1.461904762,2.688888889,1.84,1.220930233,0.705555556,1.476
Fucose,0.562745098,0.589189189,1.0075,0.656756757,0.845,0.825,0.666666667,0.287755102,0.868115942,0.515217391,0.826470588,0.686842105,0.6725,0.285294118,0.523809524,1.083333333,0.557142857,0.658139535,0.436111111,0.606
Fumarate,0.08627451,0.294594595,0.2075,0.183783784,0.39,0.115909091,0.105555556,0.12244898,0.126086957,0.117391304,0.117647059,0.15,0.1,0.047058824,0.114285714,0.266666667,0.2,0.113953488,0.105555556,0.056
Galactose,3.180392157,4.594594595,4.815,2.113513514,4.4,6.415909091,3.194444444,2.202040816,4.076811594,2.215217391,2.911764706,2.457894737,3.0525,0.888235294,2.485714286,5.838888889,2.474285714,2.837209302,2.484722222,1.82
Glucose 1-phosphate,4.22745098,0.591891892,0.5475,4.810810811,1.75,0.234090909,4.4,1.895918367,0.539130435,3.710869565,1.694117647,0.634210526,3.82,4.364705882,2.042857143,2.711111111,13.94,6.076744186,1.675,1.596
Glutamate,2.539215686,2.586486486,6.1975,3.602702703,4.4225,1.179545455,6.408333333,0.965306122,3.011594203,4.306521739,1.55,2.039473684,1.48,4.044117647,3.130952381,3.283333333,6.571428571,3.813953488,2.993055556,1.726
