,1674a,1671,1650,1673,1655,1657,1778,1779,1664,1666a,1682a,1684,1670,1672a,1667,1668,1669a,1654a,1656,1776,1777,1663a,1681,1695,1694
,FD_6mo,FD_6mo,FD_6mo,FD_6mo,FD_6mo,FD_6mo,FD_6mo,FD_6mo,FD_6mo,FD_6mo,FD_6mo,FD_6mo,Control_6mo,Control_6mo,Control_6mo,Control_6mo,Control_6mo,Control_6mo,Control_6mo,Control_6mo,Control_6mo,Control_6mo,Control_6mo,Control_6mo,Control_6mo
Taurine,0.000469105,0.000574107,0.000263689,0.002780198,0.0008792,0.003296825,0.003792475,0.001821368,0.001897458,8.14332E-05,0.000232069,0.002708597,0.001525155,0.000458484,0.001509125,0.0020096,0.000923913,0.00309375,0.000885437,0.000676974,0.003832692,0.001515113,0.000515903,0.000898125,0.001601439
Threonine,0.000911728,0.002547321,0.000954467,0.000940594,0.0009904,0.00077619,0.000917228,0.000505128,0.000244068,0.000884039,0.000209317,0.000495928,0.000418323,0.000565343,0.000563498,0.0004328,0.000147826,0.000621,0.000601664,0.000730263,0.0005,0.000655919,0.000440701,0.00033,0.000371223
Thymine,0.000133165,0.000179464,0.000307781,0.000138614,0.0000672,0.000185714,0.00012,7.17949E-05,5.67797E-05,0.000191531,7.2156E-05,5.97285E-05,9.31677E-05,0.000104693,0.000104943,6.16E-05,1.5942E-05,0.0000495,0.00011484,0.000139145,6.92308E-05,4.83627E-05,7.52022E-05,0.000028125,2.07194E-05
Trimethylamine,1.36192E-05,1.60714E-05,1.21037E-05,2.37624E-05,0.0000096,3.65079E-05,1.66337E-05,1.53846E-05,1.94915E-05,1.17264E-05,1.36511E-05,2.35294E-05,3.26087E-05,1.80505E-05,2.39544E-05,1.76E-05,5.7971E-06,0.00001275,1.16505E-05,2.56579E-05,1.73077E-05,6.80101E-06,1.21294E-05,0.0000225,1.29496E-05
Tryptophan,6.73392E-05,0.000288393,0.000100288,0.000186139,0.0001912,0.00024127,0.000212673,0.000106838,6.27119E-05,4.42997E-05,3.96533E-05,9.95475E-05,5.40373E-05,4.69314E-05,7.87072E-05,4.72E-05,4.13043E-05,0.00017325,7.40638E-05,0.000124342,0.000154808,0.000218388,4.36658E-05,5.71875E-05,9.41007E-05
Tyrosine,0.000399496,0.001357143,0.000605187,0.000932673,0.0007488,0.000952381,0.00067604,0.000350427,9.57627E-05,0.00032899,0.000139762,0.000341176,0.000190062,0.000205776,0.00014943,0.0001512,0.000100725,0.000396,0.00032871,0.000368092,0.000317308,0.000626448,0.000177898,0.000136875,0.000157986
UMP,0.0001657,2.76786E-05,7.08934E-05,0.000114851,0.0001072,0.00012381,9.62376E-05,3.07692E-05,1.61017E-05,1.10749E-05,4.42037E-05,6.69683E-05,3.26087E-05,6.35379E-05,0.000120913,8E-05,1.23188E-05,0.00007725,4.16089E-05,2.66447E-05,3.55769E-05,0.000105038,7.68194E-05,0.00004875,3.10791E-05
Uracil,0.002774527,0.002551786,0.004021902,0.00129505,0.0008784,0.002515873,0.001070495,0.000817949,0.000425424,0.002291857,0.000654605,0.000462443,0.000714596,0.001548014,0.001447529,0.0013256,0.000146377,0.00067425,0.001899861,0.001667763,0.000423077,0.000696725,0.001203235,0.000430313,0.00024
Urocanate,0.000122573,0.000223214,0.000147839,0.000114851,8.56E-05,0.000215873,0.000109307,4.10256E-05,2.9661E-05,5.86319E-05,5.9805E-05,6.33484E-05,4.28571E-05,7.50903E-05,6.61597E-05,0.0000792,1.88406E-05,0.0000765,6.49098E-05,9.47368E-05,5.09615E-05,8.08564E-05,7.1159E-05,0.0000375,2.76259E-05
Valerate,0.000278436,0.000161607,0.000204035,7.72277E-05,0.0001088,7.93651E-05,6.89109E-05,4.10256E-05,4.15254E-05,9.77199E-05,0.000160563,3.8914E-05,5.49689E-05,0.000143682,0.000201901,0.0000432,3.04348E-05,0.00012675,0.000256311,9.67105E-05,4.13462E-05,0.000106549,0.000143127,0.000080625,2.41727E-05
Valine,0.001066078,0.003154464,0.001591643,0.001752475,0.0017968,0.002352381,0.001605149,0.00087094,0.000342373,0.001183062,0.000310726,0.000776471,0.000646584,0.000753791,0.000585171,0.0004808,0.000171739,0.00114375,0.000719001,0.000948355,0.0007625,0.001370025,0.00047062,0.000425625,0.000456691
Xanthine,0.002576293,0.002659821,0.004263977,0.002221782,0.0009576,0.002388889,0.000956436,0.000973504,0.000401695,0.002796091,0.000574648,0.000540271,0.00085528,0.001444765,0.001740684,0.0012768,0.000127536,0.000564,0.002037171,0.001380592,0.000453846,0.000541814,0.001357682,0.00042375,0.000338417
Xylose,0.00066053,0.001386607,0.000798847,0.0046,0.004444,0.006219048,0.002049505,0.001711966,0.000724576,0.000342671,0.000351029,0.002533032,0.001285714,0.000558845,0.00153308,0.0009928,0.000987681,0.00107325,0.000812205,0.001527632,0.000831731,0.001929219,0.000853908,0.001441875,0.002459568
p-Cresol,1.21059E-05,6.25E-06,1.72911E-05,9.70297E-05,1.6E-05,7.46032E-05,6.89109E-05,2.39316E-05,2.54237E-05,1.9544E-05,2.47021E-05,2.80543E-05,5.12422E-05,4.76534E-05,2.73764E-05,3.2E-05,2.89855E-05,0.00003225,2.66297E-05,3.55263E-05,5.57692E-05,1.66247E-05,2.91105E-05,0.00004125,2.76259E-05
?-Alanine,0.000202018,0.000116964,0.000251585,9.90099E-05,0.0000552,0.000134921,0.000174653,6.41026E-05,0.000113559,0.000145277,8.06067E-05,3.8914E-05,4.65839E-05,5.99278E-05,7.87072E-05,5.44E-05,2.82609E-05,0.00006825,8.32178E-05,4.83553E-05,8.65385E-05,5.89421E-05,1.53639E-05,3.46875E-05,5.09353E-05
