"","Kingdom","King.conf","Phylum","Phy.conf","Class","Class.conf","Order","Order.conf","family","fam.conf","genus","gen.conf"
"248","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"249","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","97"
"250","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiales_unclassified","100","Clostridiales_unclassified","100"
"251","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Porphyromonadaceae","100","Porphyromonadaceae_unclassified","98"
"252","Bacteria","100","Proteobacteria","100","Epsilonproteobacteria","100","Campylobacterales","100","Campylobacteraceae","100","Campylobacter","100"
"253","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"254","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Oscillibacter","100"
"255","Bacteria","100","Actinobacteria","100","Actinobacteria","100","Coriobacteriales","100","Coriobacteriaceae","100","Coriobacteriaceae_unclassified","100"
"256","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Clostridium_XlVb","100"
"257","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcus","100"
"258","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidales_unclassified","100","Bacteroidales_unclassified","100"
"259","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Clostridium_IV","100"
"260","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"261","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Oscillibacter","100"
"262","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Rikenellaceae","100","Alistipes","100"
"263","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"264","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"265","Bacteria","100","Synergistetes","100","Synergistia","100","Synergistales","100","Synergistaceae","100","Cloacibacillus","100"
