"","","sample.id","Genotype","","","MDS1","MDS2","","m840.c.0","m841.m.0","m842.m.0","m844.m.0","m846.m.0","m848.c.0","m849.c.0","m850.m.0","m866.c.0","m867.m.0","m868.m.0","m869.c.0","m870.m.0","m871.m.0","m872.m.0"
"Figure 3a","Day 0","m840.c.0","control","","NMDS points","-0.413467232805352","Bray-Curtis Dissimilarity between samples","m840.c.0","","","","","","","","","","","","","","",""
"","","m871.m.25","mutant","","","0.354244077445828","-0.149794598218321","m871.m.25","0.46948003014318","0.343255463451394","0.4146571213263","0.31405425772419","0.40241145440844","0.354182366239638","0.281650339110776","0.496608892238131","0.624529012810851","0.661831198191409","0.350037678975132","0.370761115297664","0.272984174830445","0.354182366239638","",""
"","","m872.m.25","mutant","","","-0.00362438875887948","0.442562907285899","m872.m.25","0.493406179351922","0.447626224566692","0.448756593820648","0.519781461944235","0.458553127354936","0.379050489826677","0.560474755086662","0.434438583270535","0.435003767897513","0.580256217030897","0.373963828183873","0.448944988696307","0.491522230595328","0.347776940467219","0.496043707611153",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","sample.id","Genotype","","","MDS1","MDS2","","m840.c.54","m841.m.54","m842.m.54","m843.c.54","m844.m.54","m846.m.54","m848.c.54","m849.c.54","m850.m.54","m866.c.54","m867.m.54","m868.m.54","m869.c.54","m870.m.54","m871.m.54","m872.m.54"
"","Day 54","m840.c.54","control","","NMDS points","-0.134651487003653","Bray-Curtis Dissimilarity between samples","m840.c.54","","","","","","","","","","","","","","","",""
"","","m841.m.54","mutant","","","0.197272029918866","-0.487760381196573","m841.m.54","0.446684250188395","","","","","","","","","","","","","","",""
"","","m842.m.54","mutant","","","0.370715672671685","-0.372037028318739","m842.m.54","0.449510173323286","0.34438583270535","","","","","","","","","","","","","",""
"","","m843.c.54","control","","","-0.417192087173289","-0.225130369120564","m843.c.54","0.386209495101733","0.464581763376036","0.563112283345893","","","","","","","","","","","","",""
"","","m844.m.54","mutant","","","-0.0506326644624562","-0.179114182676251","m844.m.54","0.226073850791258","0.431801055011304","0.353993971363979","0.351356443104748","","","","","","","","","","","",""
"","","m846.m.54","mutant","","","0.143621599313635","0.377966671177154","m846.m.54","0.400904295403165","0.535041446872645","0.509419743782969","0.572532027128862","0.47268274302939","","","","","","","","","","",""
"","","m848.c.54","control","","","-0.220398149000795","-0.00856603758382683","m848.c.54","0.298605877920121","0.474378296910324","0.488319517709118","0.313489073097212","0.303504144687264","0.413903541823662","","","","","","","","","",""
"","","m849.c.54","control","","","-0.328480398549742","0.0514568595036564","m849.c.54","0.326865109269028","0.508477769404672","0.568387339864356","0.35361718161266","0.379427279577995","0.456480783722683","0.221929163526752","","","","","","","","",""
